acronym_,expansion,id,text
EG,ethylene glycol,TS-31,a series of biodegradable acrylic terminated polyurethanes apus based on polyÎµcaprolactone diol pcl aliphatic hexamethylene diisocyanate hdi and hydroxyethyl MA hema was synthesized as potential materials for hard tissue biomedical applications pcls with low molecular weights of and gmol were employed to provide different amounts of end capped URE acrylate in apus to control crosslink density a mixture of two different reactive diluents including monofunctional hema and bifunctional EG dimethacrylate egdma with different weight ratios was incorporated into the apus called here puas morphological characteristics and mechanical properties were investigated using xray diffraction xrd differential scanning calorimetry dsc and dynamic mechanical analysis dma dma results indicated some degree of microphase separation between hard and soft segments however the microphase separation is more prominent for puas with higher molecular weight pcl it was also found that the degree of crosslinking dominated greatly the formation of crystalline structure puas with low crosslink density exhibited crystalline microstructure the results also indicated that the mechanical properties of puas were governed considerably by crystalline microstructure and hard segment content all puas demonstrated hydrophobic SMB and were able to be degraded hydrolytically the degradation process was closely related to the microstructure and surface tension of puas
SAR,socially assistive robots,TS-32,"Formalizing Personalization in SAR To address the challenge of long - term personalization in SAR in a principled way , we present a solution to the problem as a controller - based environment which we define as hierarchical human - robot learning ( hHRL ) ."
LI,lacunar infarcts,TS-33,the objective was to assess the frequency of pure motor stroke caused by different stroke subtypes and to compare demographic clinical neuroimaging and outcome data of pure motor stroke with those of patients with other lacunar stroke as well as with those of patients with nonlacunar stroke data from patients with acute stroke n or transient ischaemic attack n admitted consecutively to the department of neurology of an acute care bed teaching hospital were prospectively collected in the sagrat cor hospital of barcelona stroke registry over a year period for the purpose of the study patients with pure motor stroke were selected the other T0 CG included patients with other lacunar strokes and patients with nonlacunar stroke in relation to stroke subtype LI were found in patients whereas ischaemic lacunar syndromes not due to lacunar infarcts occurred in patients atherothrombotic stroke in cardioembolic stroke in seven infarction of undetermined origin in three and infarction of unusual aetiology in one and haemorrhagic lacunar syndromes in patients with pure motor stroke showed a better outcome than patients with nonlacunar stroke with a significantly lower number of complications and in hospital MR shorter duration of hospital stay and a higher number of symptom free patients at hospital discharge T3 multivariate analysis hypertension diabetes obesity hyperlipidaemia nonsudden stroke ON IC involvement and pons topography seemed to be independent factors of pure motor stroke in patients with acute stroke in conclusion about one of every patients with acute stroke had a pure motor stroke pure motor stroke was caused by a lacunar infarct in of patients and by other stroke subtypes in several clinical features are more frequent in patients with pure motor stroke than in patients with nonlacunar stroke
ICA,independent component analysis,TS-34,"Indeed , ICA fails because the marginal distribution of each AR(1 ) process is Gaussian ."
HA,hepatic artery,TS-35,we experienced a case in which the HA catheter system could be used long term even after years and five months there was no damage to the hepatic artery and we could still use this system for IS of the catheter a fine catheter with the tip tapered at f was selected this catheter was inserted into the HA IP branch in the liver after a side hole was created cm from the tip and the side hole was adjusted to stay in the CHA we speculated that the reason for little injury to the hepatic i.a. was use of a fine catheter despite possible damage to the hepatic artery wall like saw cutting in this case we classified the patterns according to which a catheter damaged the inner wall of the hepatic artery into straight punch type hook punch type whiplash type elbow blow type and saw type
ST,semantic tagging,TS-36,We manipulate the following independent variables in our experiments : enumerate character and word representations ( ) ; residual bypass for character representations ( ) ; convolutional representations ( Basic CNN and ResNets ) ; auxiliary loss ( using coarse semtags on ST and fine semtags on UD ) .
RTF,real time factor,TS-37,A detailed WER / RTF plot can be found in Figure .
ARD,adversarially robust distillation,TS-38,"Performance of TRADES WideResNet distilled onto MobileNetV2 using ARD with different values of on CIFAR-10 , where robust accuracy is with respect to a -step PGD attack as in  15.Appendix F : Our hyperparameters for trainingWe train our models for 200 epochs with SGD and a momentum term of ."
ET,escherichia coli endotoxin,TS-39,the effects of platelet SAF paf on eicosanoid release during ES was investigated in anaesthetized pigs receiving mug kg ET lps into the SMA artery over a min period by measuring plasma levels of a variety of mediators fifteen of the animals infused with lps and not treated with bn a paf receptor antagonist died within min after the commencement of lps infusion nonsurvivors while the other survived the experimental period of h though in a state of shock survivors no alterations were observed in PC of eicosanoids in the nonsurvivors a significant though transient increase in eicosanoid concentrations occurred only in the survivors treatment with bn mg kg iv injected min prior to lps infusion failed to exert any effect on the survival rate however pretreatment with bn prevented circulatory collapse in the survivors and reduced the concentration of cyclooxygenase enzyme products without affecting ltb release exogenous administration of paf mug kg caused SH and increased txb C2 although keto pgfalpha and ltb concentrations were unchanged the data suggest that prostanoid formation may be secondary to paf release in circulatory collapse evoked by lps infusion in survivors and give further support to the suggestion that paf prostanoid interaction is important during ES however their role in early death seems to be negligible indicating the importance of other mediators
CTC,connectionist temporal classification,TS-40,"When these are output from CTC , these trigger the generation of the appropriate compound character in a UNICODE compliant Bengali font ."
MSE,mean squared error,TS-41,The MSE of consists of variance and squared bias .
CA,coordinate ascent,TS-42,"In Table , we compared SS with classical models implemented in RankLib ( LambdaMART , RankNet , RankBoost , AdaRank , ListNet , CA ) and rankSVM model for their ranking relevance ."
NHP,nonhistone proteins,TS-43,histone deacetylases hdacs catalyze the deacetylation of lysine residues on histones and NHP hdacs have been shown to control the functions of key Tc proteins consistent with this the overexpression of hdacs has been observed in multiple cancers resulting in deregulation of the cell cycle and uncontrolled proliferation this review focuses on the impact that hdacs have on cell cycle control through the deacetylation of proteins
FER,facial expression recognition,TS-44,MFP - CNN framework evaluations Evaluation of the baseline MFP - CNN on the CK+ : Several experiences are performed to assess the performances of the proposed MFP - CNN - based approach for FER as shown in Table .
MP,mean precision,TS-45,We note that the proposed approach provides the highest MP and the highest recall when all four aspects are considered during scoring rather than a single aspect such as content - relevance .
EMA,exponential moving average,TS-46, h!IS and FID on CIFAR-10 ( the same setting of the first row of Table ) with various values for EMA .
FEC,forward error correction,TS-47,"The specific goals of this thesis are as follows :  Goal 1  - Define a method to provide video content characterization according to its motion intensity , as well as the video parameters ;  Goal 2  - Propose a set of adaptive FEC - based content- and video - aware mechanisms , which aim to support video distribution to wireless users over error - prone networks ."
CP,cor pulmonale,TS-48,parameters of hemorrheology such as whole BV plasma viscosity hematocrit and red blood cell electrophoretic time were measured in copd patients with or without CP and the pulmonary arterial pressure was simultaneously examined the results showed that the whole BV and hematocrit in CP group were obviously higher than copd group which suggested the changes of hemorrheology was much obvious in patients with CP than those in copd patients meanwhile a statistically significant correlation was obtained between whole blood viscosity and pulmonary arterial mean pressure thus we suggest blood viscosity has a certain effect on the pulmonary arterial pressure
FEC,forward error correction,TS-49,"Once decided the FEC block sizes , it is necessary to configure the encoding FEC algorithm which will generate the redundant data ."
MAC,medium access control,TS-50,Single Link MAC : This MAC allows only one single link transmission in one Tx frame .
GA,genetic algorithm,TS-51,shows the performance of the proposed GA and the mode selection scheme with different cache size .
CWE,character - enhanced word embedding,TS-52,"For CWE , we only show the results of position - based character embeddings here because the results of cluster - based character embeddings are worse in the experiments ."
IE,information extraction,TS-53,Shared Tasks in these various sub - tasks of IE have significantly contributed to their progress and provides the fair evaluation of state of the art models .
MSC,multi - layer same - resolution compressed,TS-54,The last experiment makes an ablation study on MSC - trackers to show the effectiveness of the proposed CRM method .
IB,information bottleneck,TS-55,"Furthermore , there is a trade - off between ( i ) how much the selected function resembles a linear function in our region of interest ; e.g. , with or close to zero , since it will suffer from similar problems as the original IB Lagrangian ; and ( ii ) how fast it grows in our region of interest ; e.g. , higher values of or , since it will suffer from value convergence ; i.e. , optimizing for separate values of will achieve similar levels of performance ( Figure ) ."
SS,spectrum sensing,TS-56,"Thus we use SS case ( Spectrum Sensing ) or R case ( RADAR ) to refer to the case where utility is generated by detection of empty or busy entries ( also referred as resources ) , respectively ."
CNN,convolutional neural network,TS-57,Comparing the results in Table tab : transsslres with the performance of self - trained CNN in Table tab : sslres shows that using labeled data from other source hospitals along with the unlabeled data from the target hospital leads to further significant improvements ( indicated by in Table tab : transsslres ) .
DBN,deep belief network,TS-58,It is obvious that ECS - DBN consumes less average computational time than other competing methods .
CT,collecting tubule,TS-59,isolated kidneys of dahl SBH rats ds excrete sodium less readily than those of DSR rats dr the collecting tubule is an important source of papillary prostaglandin e and is a site of significant sodium reabsorption we cultured renal papillary collecting tubule cells from weekold prehypertensive ds and dr on a LS diet and also T3 weeks of high salt feeding and we measured prostaglandin e synthetic capacity unstimulated renal PTC CT cells from weekold ds produced less prostaglandin e than did comparable cells from dr p less than the cells from ds also synthesized less prostaglandin e after stimulation with the calcium ionophore a of control p less than or the addition of exogenous arachidonate of control p less than urinary prostaglandin e excretion was also diminished in the weekold ds compared with their saltresistant counterparts vs ng hr p less than after high salt feeding the ds became hypertensive but the dr remained normotensive renal PTC CT cells cultured from these ds continued to produce less prostaglandin e than those from control rats both in the basal state of control p less than and T3 stimulation with ionophore of control p less than in these older animals the ds continued to underexcrete prostaglandin e compared with the dr vs ng hr p less than the underproduction of prostaglandin e in the papillary CT of ds may play a role in their inadequate renal natriuretic capacity and contribute to the onset and maintenance of saltinduced hypertension in this CS
POI,postoperative ileus,TS-60,retroperitoneoscopy has gained popularity because it offers a safe alternative to the more debilitating open approach and avoids POI however this type of procedure carries certain disadvantages in terms of intraperitoneal effusions and hemodynamic changes major complications are exceptional we describe the case of a yearold man who died of carbon dioxide embolism during elective TEP tep inguinal hernioplasty for symptomatic left indirect IH with the patient under GA anesthesia the retroperitoneal space was gained through a cm incision made below the umbilicus during the dissection the patient collapsed and could not be resuscitated at autopsy air bubbles were admixed with blood in the Epi veins but no injury to vessels was demonstrated we conclude that carbon dioxide embolism usually is caused by direct puncture of major vessels during IA procedures however when this complication occurs during retroperitoneoscopy it seems related to pressureforced entry of carbon dioxide into the venous plexus
SRC,sparse representation classification,TS-61,The experiment results of CRC and SRC are directly referenced from the experiment results reported in while the experiment results of LRC and RCR are obtained via running the codes by ourselves .
RE,referring expression,TS-62,"Finally , we highlight that if we merge the top-10 gold - standard summaries , the REs reported by REMI yield averages of 0.53 , 0.62 , and 0.31 for the P , O , and PO precisions when using as prominence metric , i.e. , 62 of the RE ""s"" used object entitiesthat appear in the summaries ."
DADA,distributed affinity dual approximation,TS-63,"Both performance and data transfersof the policies introduced above : HEFT , DADA ( ) , DADA ( ) and DADA()+CP are studied ."
ML,machine learning,TS-64,The general idea is to demonstrate that it should be possible to implement some if not most ML functions and models .
CS,charging station,TS-65,"This implies that two drivers with different priorities may have two different recommended CS ""s"" ."
QA,question answering,TS-66,generate a set of QA pairs given a KB entity .
S2,second heart sound,TS-67,bifurcation lesions remain a challenging lesion subset even in the era of drugeluting stents the aim of this study was to investigate the longitudinal remodeling DP and crosssectional PI location of bifurcation lesions seventyfour preintervention intravascular ultrasound studies of LAD bifurcation lesions were analyzed in which the lesion was located PT type a n or distal type b n to the side branch vessel area and PA at the lesion valesion and palesios report describes two female patients aged years and years who had no cyanotic disease the first patient was admitted to the hospital T3 the first stroke but suffered a second one after admission her initial cardiac examination was normal the other patient was admitted T3 a second rightsided hemiparesis a mild pansystolic ejection murmur was observed at the lower left sternal border on auscultation slight late diastolic murmurs with opening snap were found in the mitral valve area and the S2 was increased transthoracic echocardiography revealed a mass in the anterior mitral valve in both patients these masses were CR removed surgically and pathology revealed myxomas hemiparesis CR resolved T3 surgical and medical treatment the clinical manifestations of cardiac tumors primarily depend on their number size location and histology strokes and anterior mitral valve masses are extremely rare in children in the two cases reported here anterior mitral valve myxomas caused systemic embolization as a result of their location echocardiography should be performed early in patients presenting with recurrent strokes to exclude such pathology
VS,ventricular septum,TS-68,the cardiac CS consists of distinctive heart muscle cells that initiate and propagate the electric impulse required for coordinated contraction the CS expresses the transcriptional repressor tbx which is required for vertebrate development and controls the formation of the SN in humans mutations in tbx cause ulnarmammary syndrome here we investigated the role of tbx in the molecular specification of the atrioventricular conduction system expression analysis revealed early delineation of the atrioventricular bundle and proximal bundle branches by tbx expression in human mouse and chicken tbxdeficient mice which die between embryonic day and ectopically expressed genes for connexin cx atrial natriuretic factor nppa tbx and tbx in the atrioventricular bundle and proximal bundle branches cx was precociously upregulated in the atrioventricular bundle of tbx mutants moreover the atrioventricular bundle and branches failed to exit the Tc in tbx mutant embryos finally tbxdeficient embryos developed outflow tract malformations and ventricular septal defects these data reveal that tbx is required for the molecular specification of the atrioventricular bundle and bundle branches and for the development of the VS and outflow tract our data suggest a mechanism in which tbx represses differentiation into ventricular working myocardium thereby imposing the conduction system phenotype on cells within its expression domain
ICM,ischemic cardiomyopathy,TS-69,fibroblast growth factor advfgf improves regional function by stimulating myocyte hypertrophy without increasing MP in swine with hibernating myocardium we performed the present study to determine whether advfgf could prevent the progression of lv dysfunction in swine with ICM
GS,google scholar 's,TS-70,"To quantify the performance of different systems , we compared three recommendation systems and GS * - a simulating system that imitates Google Scholar ""s"" ranking function - in terms of Precision - at- ."
CKA,centered kernel alignment,TS-71,"Thus RV2 provides a similarity metric with the same invariance properties as CKA while being less sensitive to dataset size , making it a good candidate for comparing neural activities of large artificial and biological neural networks ."
MP,most popular,TS-72,"Interestingly , both MP and CF provide a perfect score for P@1 of 1.000 , which indicates that both algorithms rank a highly - connected dataset on the first position that is relevant for all 2,338 evaluated services ."
SP,strictly piecewise,TS-73,The Strictly Piecewise ( SP ) class was studied by .
EM,expectation maximization,TS-74,"These results confirm our earlier observations from synthetic and CD patient datasets about : 1 ) the superior performance of ; 2 ) effectiveness of SSL in predicting missing annotation information ; 3 ) inferior performance of LMStaple due to predicting sensitivity and specificity parameters from annotations without considering their overall consistency , and using EM ; and 4 ) contribution of our SC score and graph cuts in obtaining better consensus annotations ."
PBRT,physically based ray tracing,TS-75,"The surface rendering ( PBRT ) is based on ray tracing algorithms , with an accurate simulation of physics of light and its interaction with many types of surfaces including metals , diffuse reflectors , retro - reflective materials , and glass ."
RV,retroviral vector,TS-76,upon retroviral infection the genomic rna is reverse transcribed to make proviral dna which is then integrated into the host chromosome although the viral elements required for successful integration have been extensively characterized little is known about the host dna structure constituting preferred targets for proviral integration in order to elucidate the mechanism for the target selection comparison of host dna sequences at proviral integration CS may be useful to achieve simultaneous analysis of the upstream and downstream host dna sequences flanking each proviral integration site a moloney L1210 virusbased RV was designed so that its integrated provirus could be removed by creloxp HR leaving a solo long terminal repeat ltr taking advantage of the solo ltr inverse pcr was carried out to amplify both the UP and downstream cellular flanking dna the method called solo ltr inverse pcr or slip proved useful for simultaneously cloning the upstream and downstream flanking sequences of individual proviral integration sites from the polyclonal population of cells harboring provirus at different chromosomal sites by the slip method nucleotide sequences corresponding to independent proviral integration targets were determined and interestingly atypical virushost dna junction structures were found in more than of the cases characterization of retroviral integration CS using the slip method may provide useful insights into the mechanism for proviral integration and its target selection
SD,soft decision,TS-77,"Researchers usually employ simple suboptimal AND , OR or MAJORITY counting rules for global detection  910. Others try to calculate the optimim local and global thresholds but mainly using exhaustive numerical methods  1112. In  4  , the performance of the SD combining scheme with NP test was compared with an OR - rule based HD combining scheme , which is not necessarily optimal ."
MGM,markov geographic model,TS-78,"ConclusionsIn this paper , we proposed a novel method , DDE - MGM , to model and classify time series in an online manner , where common but unrealistic assumptions like the same data length and well alignment are completely removed , facilitating the deployment of the method to real - world problem solving ."
BAM,bandwidth allocation model,TS-79,"As such , contribution of the PSIoT - SDN framework will be to integrate a QoS approach on network edge with a network bandwidth sharing strategy based on BAM models that is SDN - controlled ."
ASDs,autism spectrum disorders,TS-80,many children with ASDs asd demonstrate deficits in language comprehension but little is known about how they process spoken language as it unfolds realtime lexical comprehension is associated with language and cognition in children without asd suggesting that this may also be the case for children with asd this T0 adopted an individual differences approach to characterizing RT comprehension of familiar words in a group of three to sixyearolds with asd the lookingwhilelistening paradigm was employed it measures online accuracy and RL through languagemediated eye movements and has limited task demands on average children demonstrated comprehension of the familiar words but considerable R2 emerged children with better accuracy were faster to process the familiar words in combination processing speed and comprehension on a standardized language assessment explained of the variance in online accuracy online accuracy was not correlated with autism severity or maternal education and nonverbal cognition did not explain unique variance notably online accuracy at age Â½ was related to vocabulary comprehension years earlier the words typically learned earliest in life were processed most quickly consistent with a dimensional view of language abilities these findings point to similarities in patterns of language acquisition in TD children and those with asd overall our results emphasize the value of examining individual differences in realtime language comprehension in this population we propose that the lookingwhilelistening paradigm is a sensitive and valuable methodological tool that can be applied across many areas of autism research
MN,mobile node,TS-81,An unnecessary handover is said to occur when the traversing time of an MN in a WLAN cell is smaller than the sum of the handover time into and out of the WLAN coverage area .
GDP,generalized differential privacy,TS-82,"In Section sec : hypergrid , we show that Lipschitz testers over the hypergrid domain can be used to test for GDP when the data sets are drawn uniformly from the hypergrid domain ."
FAR,false acceptance rate,TS-83,"In a direct comparison , the verification rate on PaSC equals only 0.22 at 0.001 FAR , in contrast to the more controlled databases MBE ( 0.997 ) , GBU ( 0.8 ) and LFW ( 0.54 ) ."
NHBE,normal human bronchial epithelial cells,TS-84,mucin muc is a diagnostic factor and therapy target in lung adenocarcinoma muc cterminal ICD cd interacts with estrogen receptor er Î± and increases gene transcription in breast CA cells because A549 cells express functional erÎ± and erÎ² we examined muc expression and mucer interaction because blocking muc cd with an inhibitory peptide pmip inhibited breast tumor growth we tested whether pmip would inhibit A549 cell proliferation we report that muc interacts with erÎ± and erÎ² within the nucleus of h A549 cells in accordance with muc expression pmip was taken up by h and h cells and inhibited the proliferation of h but not h cells concordant with higher muc protein expression in h cells lower muc protein expression in h does not correspond to micrornas mirb and mir that have been reported to reduce muc expression pmip had no effect on the viability of NHBE which lack muc expression pmip inhibited estradiolactivated reporter gene transcription and endogenous cyclin d and nuclear respiratory factor gene transcription in h cells these results indicate mucer functional interaction in A549 cells and that inhibiting muc inhibits A549 cell viability
SPL,sound pressure level,TS-85,A notable fault observed resulted in the failure of the SPL logging code to reset the CSV file causing its uninhibited growth on the TMP folder ( captured by the TMP usage telemetry variable ) .
MHA,muellerhinton agar,TS-86,the sensitivity and specificity of seven methods agar dilution BMD etest at and mcfarland mcf inocula two agar screening methods and population studies ps were evaluated in a doubleblind study involving MRSA mrsa strains and staphylococcus strains with reduced susceptibilities to vancomycin srsv the results were compared to the population analysis profilearea under the curve ratio method papauc ratio compared to that of mu as described by wootton et al the agar screening method using brain heart infusion agar microg of vancomycin per ml gave a sensitivity of and a specificity of a similar method using MHA microg of vancomycin per ml gave a sensitivity of and a specificity of the ps method detected false positives and gave a sensitivity of and a specificity of etest using and mcf inocula gave sensitivities and specificities of and and of and respectively the best etest interpretative criteria for the mcf inoculum was or mg of vancomycin per liter and or microg teicoplanin per ml or or microg of teicoplanin per ml the direct colony suspension inoculum for this method was found to be equally accurate in detecting heteroglycopeptideintermediate s aureus compared to the overnight broth inoculum preparation method agar dilution and BB microdilution using the nccls breakpoint criteria for vancomycin gave sensitivities and specificities of and and of and respectively using the etest with a mcf inoculum six different media were assessed against a selection of srsv n and mrsa n BB heart infusion agar yielded the highest sensitivity and specificity values and respectively
MSC,multi - layer same - resolution compressed,TS-87,"Ablation Study To demonstrate the effectiveness of the proposed CRM method , we evaluate MSC - DCF and MSC - CCO with additional versions , i.e. , MSC - DCF and MSC - CCO without using the CRM method , namely MSC - DCF - w / o - CRM and MSC - CCO - w / o - CRM , respectively ."
ML,machine learning,TS-88,This makes large - scale EHR a uniquely rich source of insight and an unrivalled data for training data - hungry ML models .
CC,central cloud,TS-89,It is worth noting that caching the content at the EC prevents us from functional splitting since the content is already at EC and it is not meaningful to centralize processing at CC .
FJ,friendly jamming,TS-90,FJ power allocation in a multiuser two - way untrusted relay network .
DF,dialysis fluid,TS-91,the principal complications of continuous ambulatory peritoneal dialysis capd namely malposition of the dialysis catheter peritonitis exit site infection leakage of dialysis fluid sclerosing peritonitis and renal cysts and tumors are considered in this article the techniques that are used to reposition displaced dialysis catheters and extend the duration of dialysis are described the role of imaging in establishing the diagnosis of peritonitis is relatively small however both computed tomography ct and ultrasound may be used to identify loculation of fluid and localized CS of sepsis and permit percutaneous drainage ultrasonography of the catheter track through the percutaneous tissues allows ID of pericatheter collections in patients with exitsite infection the technique of ct peritoneography is helpful in establishing sites of DF leakage these commonly occur at the site of entry of the dialysis catheter through abdominal incisions or along the patent tunica vaginalis into the scrotum the appearances on ct of SP reflect pathologic changes and are characterized by the presence of peritoneal thickening and calcification bowel one which may develop in SP can be identified on ABD radiographs or barium studies of the gastrointestinal tract acquired renal cystic disease and RCs occur in a significant proportion of patients undergoing capd ultrasound is the investigation of first choice in the ID and clarification of the pathology cystic or solid of suspected renal masses
MET,michigan english test,TS-92,"Similarly to the EyeScore outcomes , the best performance in the Fixed Text regime is obtained using the WFC feature set , with a Pearson ""s"" of 0.7 and MAE of 3.31 for MET ."
