acronym_,expansion,id,text,fullyExpandedText
HCPs,health care professionals,TS-10,the prevalence of OP is rising as the population of the united states and other developed countries ages these increasing numbers of people have motivated pharmaceutical companies to develop and market several antiresorptive medications that can slow down the BL associated with OP although these are not cures for this disease they are an important first step in a vital ongoing public health effort to prevent OP in the future and to manage osteoporosis now we cannot expect to remediate the problems caused by this disease if we attend only to its skeletal implications like any other chronic disease osteoporosis has significant psychologic and social consequences from anxiety and depression to social withdrawal and isolation if these problems are left unresolved they can have a significant negative impact not only on health issues but also on overall SQ of life no quick fixes exist for the numerous ways in which osteoporosis can transform an autonomous person into a dependent and hopeless patient in part responsibility for helping this patient rests with the medical community referrals to AGA providers can improve a patients physical and emotional wellbeing physician specialists can help the patient manage comorbid conditions physical and occupational therapists can teach exercises home safety and safe movement social workers can provide a framework for coping that enables individuals to improve their interpersonal interactions and minimize AS in their lives nutritionists pharmacists nurses and other HCPs can make L1 contributions to the quality of life of people with OP and should be encouraged to do so unfortunately managed care has set policies that deprive patients with osteoporosis of the kinds of care that would be most useful to them as we have advocated for the last years a multidisciplinary approach offers patients the most positive overall way to manage OP therefore new alternatives need to be examined alternatives that provide both lowcost and highquality care in the long run patients who practice selfmanagement that is those who take responsibility for their own calcium and vitamin d NI are compliant with medications exercise and practice home safety and who have a healthy outlook can control their osteoporosis the most effective intervention for the future may be to teach individuals how to use selfmanagement strategies so that they can take charge of their osteoporosis and positively influence their quality of life,"the prevalence of Orthogonal Procrustes([]) is rising as the population of the united states and other developed countries ages these increasing numbers of people have motivated pharmaceutical companies to develop and market several antiresorptive medications that can slow down the Black Level Subtraction(No additional information found for Black Level Subtraction) associated with Orthogonal Procrustes([]) although these are not cures for this disease they are an important first step in a vital ongoing public health effort to prevent Orthogonal Procrustes([]) in the future and to manage osteoporosis now we cannot expect to remediate the problems caused by this disease if we attend only to its skeletal implications like any other chronic disease osteoporosis has significant psychologic and social consequences from anxiety and depression to social withdrawal and isolation if these problems are left unresolved they can have a significant negative impact not only on health issues but also on overall Symptom Questionnaire(['scientific article published in June 1966'], Symptom Questionnaire has the following properties: ['is an instance of scholarly article']) of life no quick fixes exist for the numerous ways in which osteoporosis can transform an autonomous person into a dependent and hopeless patient in part responsibility for helping this patient rests with the medical community referrals to Androgenetic Alopecia(['hair loss due to susceptibility of hair follicles to androgenic miniaturization'], Androgenetic Alopecia has the following properties: ['is an instance of disease']) providers can improve a patients physical and emotional wellbeing physician specialists can help the patient manage comorbid conditions physical and occupational therapists can teach exercises home safety and safe movement social workers can provide a framework for coping that enables individuals to improve their interpersonal interactions and minimize Autonomous System(['collection of connected Internet Protocol (IP) routing prefixes under the control of one or more network operators'], Autonomous System has the following properties: ['is an instance of set', 'is different from Autonomous system']) in their lives nutritionists pharmacists nurses and other HCPs can make Major(ERROR while looking up semantic expansion) contributions to the quality of life of people with Orthogonal Procrustes(ERROR while looking up semantic expansion) and should be encouraged to do so unfortunately managed care has set policies that deprive patients with osteoporosis of the kinds of care that would be most useful to them as we have advocated for the last years a multidisciplinary approach offers patients the most positive overall way to manage Orthogonal Procrustes(ERROR while looking up semantic expansion) therefore new alternatives need to be examined alternatives that provide both lowcost and highquality care in the long run patients who practice selfmanagement that is those who take responsibility for their own calcium and vitamin d New Instances(No additional information found for New Instances) are compliant with medications exercise and practice home safety and who have a healthy outlook can control their osteoporosis the most effective intervention for the future may be to teach individuals how to use selfmanagement strategies so that they can take charge of their osteoporosis and positively influence their quality of life"
SDR,semidefine relaxation,TS-11,"In fact , with 50 profile weight coefficients ( WeSNet - HF-50 ) , WeSNet outperforms DetNet , producing the accuracy of symbol detection equivalent to SDR .","In fact , with 50 profile weight coefficients ( WeSNet - NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) ) , WeSNet outperforms DetNet , producing the accuracy of symbol detection equivalent to Software Defined Radio(['radio communication system implemented by means of software']) ."
GT,ground truth,TS-12,"For our proposed evaluation we expand the GT and HYP definition : Instead of a sequence of characters , we have a tuple of sequences of characters .","For our proposed evaluation we expand the Group Testing(['A procedure that breaks up the task of identifying certain objects into tests on groups of items.']) and NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) definition : Instead of a sequence of characters , we have a tuple of sequences of characters ."
MB,maximal biclique,TS-13,"paper_MIB_n150_edge_density_oo05-eps - converted - to paper_MB_n150_edge_density_oo05-eps - converted - to fig : app12 Runtimes of the MIB - enumerating ( left ) and MB - enumerating ( right ) algorithms on graphs where , and .","paper_NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND)_n150_edge_density_oo05-eps - converted - to paper_Motion Blurring(['scientific article published on 01 January 1971'], Motion Blurring has the following properties: ['is an instance of scholarly article'])_n150_edge_density_oo05-eps - converted - to fig : app12 Runtimes of the MIB - enumerating ( left ) and MB - enumerating ( right ) algorithms on graphs where , and ."
CNN,convolutional neural network,TS-14,Table shows the results obtained by GMBF(columns GMBF ) and CNN with this fine tuning strategy ( columns CNNf15 ) .,"Table shows the results obtained by NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND)(columns GMBF ) and Convolutional Neural Network(['A class of deep neural networks, most commonly applied to analyzing visual imagery.']) with this fine tuning strategy ( columns CNNf15 ) ."
ES,energy storage,TS-15,"Moreover , the ES systems use their 30 kW power capacity to reach a balanced per - unit energy level , as shown in .","Moreover , the Energy Storage(['capture of energy produced at one time for use at a later time']) systems use their 30 kW power capacity to reach a balanced per - unit energy level , as shown in ."
VAT,visceral adipose tissue,TS-16,"Despite the lower age of the subjects , the labeled volumes for SAT in the chosen scans are on average about 75 larger , while the VAT volumes are about 50 smaller than in the images of Tellus .","Despite the lower age of the subjects , the labeled volumes for Substance Abuse Treatment(['processes of treatment for drug dependency'], Substance Abuse Treatment has the following properties: ['has use drug withdrawal']) in the chosen scans are on average about 75 larger , while the Virtual Adversarial Training(['scientific article published on 23 July 2018'], Virtual Adversarial Training has the following properties: ['is an instance of scholarly article']) volumes are about 50 smaller than in the images of Tellus ."
RW,random walk,TS-17,"In order to contrast our results with that of a classical RW , we first show in Fig .","In order to contrast our results with that of a classical Reaction Wheels(No additional information found for Reaction Wheels) , we first show in Fig ."
GP,gaussian process,TS-18,The UAV starting from an initial position is given a budget and initializes GP with zero mean .,The NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) starting from an initial position is given a budget and initializes Gaussian Process(['stochastic process such that every finite collection of random variables has a multivariate normal distribution']) with zero mean .
PS,power splitting,TS-19,Because the SC is higher for the proposed CNOMA - SWIPT - PS - OAM technique than other compared schemes which is shown in Figure 5 .,Because the Sleep Cassette(No additional information found for Sleep Cassette) is higher for the proposed NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) - NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) - Prediction Shift(No additional information found for Prediction Shift) - NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) technique than other compared schemes which is shown in Figure 5 .
MT,machine translation,TS-20,MT systemsFor each of the three MT architectures we first trained a standard MT system ( the forward or FF system ) on the original data .,Machine Translation(['use of software for language translation']) systemsFor each of the three Machine Translation(['use of software for language translation']) architectures we first trained a standard Machine Translation(['use of software for language translation']) system ( the forward or Fimbriafornix(No additional information found for Fimbriafornix) system ) on the original data .
DL,deep learning,TS-21,"Thus , the DL estimator is more capable of channel estimation in nonlinear systems while the performance of the LMMSE estimator degrades more significantly when more nonlinearities are imposed on the received signal .","Thus , the Description Length(No additional information found for Description Length) estimator is more capable of channel estimation in nonlinear systems while the performance of the NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) estimator degrades more significantly when more nonlinearities are imposed on the received signal ."
PIC,preinitiation complex,TS-22,photochemical crosslinking has been widely employed to identify proteins interacting with specific CS on dna ID of bound proteins usually relies on transfer of a radiolabel from the dna to the protein by crosslinking we set out to finemap a small viral replication preinitiation complex composed of two protein dimers bound to dna the bovine papillomavirus eeori complex here we describe a simple method for generating highspecificactivity probes with a phenylazide photoactivatible crosslinking group positioned immediately adjacent to a labeled nucleotide the method is based on the selective destruction of one phosphorylated strand of a polymerase chain RP with lambda exonuclease and reconstitution of the probe with a phosphorothioatesubstituted oligonucleotide an alphapdntp and thermophilic enzymes we also developed a highresolution ingel crosslinking CA to probe defined proteindna complexes with these methods we have obtained structural information for the papillomavirus eeori PIC that would otherwise have been hard to obtain these approaches should be widely applicable to the T0 of proteindna complexes,"photochemical crosslinking has been widely employed to identify proteins interacting with specific Patients With Cushings Syndrome(No additional information found for Patients With Cushings Syndrome) on dna Item Description(['scientific article published on 30 December 2016'], Item Description has the following properties: ['is an instance of scholarly article']) of bound proteins usually relies on transfer of a radiolabel from the dna to the protein by crosslinking we set out to finemap a small viral replication preinitiation complex composed of two protein dimers bound to dna the bovine papillomavirus eeori complex here we describe a simple method for generating highspecificactivity probes with a phenylazide photoactivatible crosslinking group positioned immediately adjacent to a labeled nucleotide the method is based on the selective destruction of one phosphorylated strand of a polymerase chain Replies(['weekly periodical'], Replies has the following properties: ['is an instance of magazine']) with lambda exonuclease and reconstitution of the probe with a phosphorothioatesubstituted oligonucleotide an alphapdntp and thermophilic enzymes we also developed a highresolution ingel crosslinking Corresponding Arcs(No additional information found for Corresponding Arcs) to probe defined proteindna complexes with these methods we have obtained structural information for the papillomavirus eeori Polymorphism Information Content(No additional information found for Polymorphism Information Content) that would otherwise have been hard to obtain these approaches should be widely applicable to the Study(['instrumental musical composition, usually short, designed to provide practice material for perfecting a particular musical skill'], Study has the following properties: ['is an instance of musical form', 'is different from Étude']) of proteindna complexes"
FEM,finite element method,TS-23," ( v )  SRS at component interface can be obtain by In this example , between equipment and component interfaces is extracted from the same FEM model as shown in Fig ."," ( v )  Somatostatin Receptor Scintigraphy([]) at component interface can be obtain by In this example , between equipment and component interfaces is extracted from the same Finite Element Method(['numerical method for solving physical or engineering problems']) model as shown in Fig ."
MSC,multi - layer same - resolution compressed,TS-24,"Although much more feature channels are included in the Conv1+Conv5 features , our MSC features still provide improved performance , with a DPR of 83.7 , while achieving the fast tracking speed of 68.5 FPS , which is about 26 times faster than the Conv1+Conv5 features .","Although much more feature channels are included in the Conv1+Conv5 features , our Multi - Layer Same - Resolution Compressed(No additional information found for Multi - Layer Same - Resolution Compressed) features still provide improved performance , with a NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) of 83.7 , while achieving the fast tracking speed of 68.5 Frame Per Second(No additional information found for Frame Per Second) , which is about 26 times faster than the Conv1+Conv5 features ."
PAP,process arrival pattern,TS-25,To the best knowledge of the author there are no PAP optimized all - reduce algorithms described in the literature .,To the best knowledge of the author there are no Process Arrival Pattern(No additional information found for Process Arrival Pattern) optimized all - reduce algorithms described in the literature .
MSC,multi - layer same - resolution compressed,TS-26,and Table show the comparison of our MSC - trackers with several deep CF trackers with deep features on OTB datasets .,"and Table show the comparison of our Multi - Layer Same - Resolution Compressed(No additional information found for Multi - Layer Same - Resolution Compressed) - trackers with several deep Collaborative Filtering(['algorithm'], Collaborative Filtering has the following properties: ['is an instance of algorithm', 'has use recommender system']) trackers with deep features on Oxitropium Bromide(['chemical compound'], Oxitropium Bromide has the following properties: ['is an instance of chemical compound']) datasets ."
APs,accessory pathways,TS-27,occupational rheumatologic problems due to rapid repetitive motion are increasing in frequency in the electronics industry and are more commonly responsible for awards of workers compensation benefits if not handled correctly these problems can result in significant pain and disability for employees and heavy medical and disability costs for employers corporate health and safety personnel can play a major role in reducing this human and fiscal cost by the following measures careful DUE of patterns of injury and illness among employees will identify production areas with a high rate of problems an MI system designed to provide rapid early identification of employees with early symptoms of carpal tunnel syndrome tendinitis and muscle painspasm syndrome early treatment will produce much beth early atrial activation paraseptally in the right coronary fossa these APs were ablated by an epicardial RPA without using cardiopulmonary bypass we conclude that right anterior septal APs as defined by electrophysiological criteria can be divided into two CG on the basis of the atrial activation CS RA septal accessory pathways in the septal parahissian region and RA anterior paraseptal APs this classification is of practical importance because the latter can be ablated using an Epi RPA without the need for cardiopulmonary bypass or atriotomy,"occupational rheumatologic problems due to rapid repetitive motion are increasing in frequency in the electronics industry and are more commonly responsible for awards of workers compensation benefits if not handled correctly these problems can result in significant pain and disability for employees and heavy medical and disability costs for employers corporate health and safety personnel can play a major role in reducing this human and fiscal cost by the following measures careful Evaluation(['systematic determination of a subject\'s merit, worth and significance']) of patterns of injury and illness among employees will identify production areas with a high rate of problems an Myocardial Infarction(['interruption of blood supply to a part of the heart'], Myocardial Infarction has the following properties: ['is an instance of cause of death']) system designed to provide rapid early identification of employees with early symptoms of carpal tunnel syndrome tendinitis and muscle painspasm syndrome early treatment will produce much beth early atrial activation paraseptally in the right coronary fossa these APs were ablated by an epicardial Approach(['means by which an item performs a function'], Approach has the following properties: ['is different from resource']) without using cardiopulmonary bypass we conclude that right anterior septal APs as defined by electrophysiological criteria can be divided into two Conjugate Gradient(ERROR while looking up semantic expansion) on the basis of the atrial activation Patients With Cushings Syndrome(No additional information found for Patients With Cushings Syndrome) Random Access(['term']) septal accessory pathways in the septal parahissian region and Random Access(['term']) anterior paraseptal APs this classification is of practical importance because the latter can be ablated using an Epi Approach(ERROR while looking up semantic expansion) without the need for cardiopulmonary bypass or atriotomy"
FEC,forward error correction,TS-28,The non - adaptive Video - aware FEC mechanism had an overhead between 35 and 43 .,The non - adaptive Video - aware Forward Error Correction(ERROR while looking up semantic expansion) mechanism had an overhead between 35 and 43 .
HD,hausdorff distance,TS-29,"gives the highest DM and lowest HD values , followed by , LocalMAPSTAPLE , COLLATE , LMS7 , and .","gives the highest Distribution Matching(ERROR while looking up semantic expansion) and lowest Hausdorff Distance(ERROR while looking up semantic expansion) values , followed by , LocalMAPSTAPLE , NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) , NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) , and ."
SVM,support vector machine,TS-30,"For instance , clustering based SVM ( CB - SVM ) work by Yang et al . ,","For instance , clustering based Support Vector Machine(['set of methods for supervised statistical learning'], Support Vector Machine has the following properties: ['is a part of supervised learning']) ( Code Block(['computer programming term; section of code which is grouped together'], Code Block has the following properties: ['is a part of control structure', 'is different from visual programming language']) - Support Vector Machine(ERROR while looking up semantic expansion) ) work by Yang et al . ,"
EG,ethylene glycol,TS-31,a series of biodegradable acrylic terminated polyurethanes apus based on polyÎµcaprolactone diol pcl aliphatic hexamethylene diisocyanate hdi and hydroxyethyl MA hema was synthesized as potential materials for hard tissue biomedical applications pcls with low molecular weights of and gmol were employed to provide different amounts of end capped URE acrylate in apus to control crosslink density a mixture of two different reactive diluents including monofunctional hema and bifunctional EG dimethacrylate egdma with different weight ratios was incorporated into the apus called here puas morphological characteristics and mechanical properties were investigated using xray diffraction xrd differential scanning calorimetry dsc and dynamic mechanical analysis dma dma results indicated some degree of microphase separation between hard and soft segments however the microphase separation is more prominent for puas with higher molecular weight pcl it was also found that the degree of crosslinking dominated greatly the formation of crystalline structure puas with low crosslink density exhibited crystalline microstructure the results also indicated that the mechanical properties of puas were governed considerably by crystalline microstructure and hard segment content all puas demonstrated hydrophobic SMB and were able to be degraded hydrolytically the degradation process was closely related to the microstructure and surface tension of puas,a series of biodegradable acrylic terminated polyurethanes apus based on polyÎµcaprolactone diol pcl aliphatic hexamethylene diisocyanate hdi and hydroxyethyl Moving Average(ERROR while looking up semantic expansion) hema was synthesized as potential materials for hard tissue biomedical applications pcls with low molecular weights of and gmol were employed to provide different amounts of end capped Urethane(ERROR while looking up semantic expansion) acrylate in apus to control crosslink density a mixture of two different reactive diluents including monofunctional hema and bifunctional Ethylene Glycol(ERROR while looking up semantic expansion) dimethacrylate egdma with different weight ratios was incorporated into the apus called here puas morphological characteristics and mechanical properties were investigated using xray diffraction xrd differential scanning calorimetry dsc and dynamic mechanical analysis dma dma results indicated some degree of microphase separation between hard and soft segments however the microphase separation is more prominent for puas with higher molecular weight pcl it was also found that the degree of crosslinking dominated greatly the formation of crystalline structure puas with low crosslink density exhibited crystalline microstructure the results also indicated that the mechanical properties of puas were governed considerably by crystalline microstructure and hard segment content all puas demonstrated hydrophobic Behavior(ERROR while looking up semantic expansion) and were able to be degraded hydrolytically the degradation process was closely related to the microstructure and surface tension of puas
SAR,socially assistive robots,TS-32,"Formalizing Personalization in SAR To address the challenge of long - term personalization in SAR in a principled way , we present a solution to the problem as a controller - based environment which we define as hierarchical human - robot learning ( hHRL ) .","Formalizing Personalization in Synthetic Aperture Radar(ERROR while looking up semantic expansion) To address the challenge of long - term personalization in Synthetic Aperture Radar(ERROR while looking up semantic expansion) in a principled way , we present a solution to the problem as a controller - based environment which we define as hierarchical human - robot learning ( hHRL ) ."
LI,lacunar infarcts,TS-33,the objective was to assess the frequency of pure motor stroke caused by different stroke subtypes and to compare demographic clinical neuroimaging and outcome data of pure motor stroke with those of patients with other lacunar stroke as well as with those of patients with nonlacunar stroke data from patients with acute stroke n or transient ischaemic attack n admitted consecutively to the department of neurology of an acute care bed teaching hospital were prospectively collected in the sagrat cor hospital of barcelona stroke registry over a year period for the purpose of the study patients with pure motor stroke were selected the other T0 CG included patients with other lacunar strokes and patients with nonlacunar stroke in relation to stroke subtype LI were found in patients whereas ischaemic lacunar syndromes not due to lacunar infarcts occurred in patients atherothrombotic stroke in cardioembolic stroke in seven infarction of undetermined origin in three and infarction of unusual aetiology in one and haemorrhagic lacunar syndromes in patients with pure motor stroke showed a better outcome than patients with nonlacunar stroke with a significantly lower number of complications and in hospital MR shorter duration of hospital stay and a higher number of symptom free patients at hospital discharge T3 multivariate analysis hypertension diabetes obesity hyperlipidaemia nonsudden stroke ON IC involvement and pons topography seemed to be independent factors of pure motor stroke in patients with acute stroke in conclusion about one of every patients with acute stroke had a pure motor stroke pure motor stroke was caused by a lacunar infarct in of patients and by other stroke subtypes in several clinical features are more frequent in patients with pure motor stroke than in patients with nonlacunar stroke,"the objective was to assess the frequency of pure motor stroke caused by different stroke subtypes and to compare demographic clinical neuroimaging and outcome data of pure motor stroke with those of patients with other lacunar stroke as well as with those of patients with nonlacunar stroke data from patients with acute stroke n or transient ischaemic attack n admitted consecutively to the department of neurology of an acute care bed teaching hospital were prospectively collected in the sagrat cor hospital of barcelona stroke registry over a year period for the purpose of the study patients with pure motor stroke were selected the other Study(ERROR while looking up semantic expansion) Conjugate Gradient(ERROR while looking up semantic expansion) included patients with other lacunar strokes and patients with nonlacunar stroke in relation to stroke subtype Lowintensity(No additional information found for Lowintensity) were found in patients whereas ischaemic lacunar syndromes not due to lacunar infarcts occurred in patients atherothrombotic stroke in cardioembolic stroke in seven infarction of undetermined origin in three and infarction of unusual aetiology in one and haemorrhagic lacunar syndromes in patients with pure motor stroke showed a better outcome than patients with nonlacunar stroke with a significantly lower number of complications and in hospital Magnetic Resonance(['for physical understanding of the phenomena']) shorter duration of hospital stay and a higher number of symptom free patients at hospital discharge Advanced(ERROR while looking up semantic expansion) multivariate analysis hypertension diabetes obesity hyperlipidaemia nonsudden stroke Onufs Nucleus(No additional information found for Onufs Nucleus) Initial Contact(['first meeting of two civilizations previously unaware of one another'], Initial Contact has the following properties: ['is different from first contact']) involvement and pons topography seemed to be independent factors of pure motor stroke in patients with acute stroke in conclusion about one of every patients with acute stroke had a pure motor stroke pure motor stroke was caused by a lacunar infarct in of patients and by other stroke subtypes in several clinical features are more frequent in patients with pure motor stroke than in patients with nonlacunar stroke"
ICA,independent component analysis,TS-34,"Indeed , ICA fails because the marginal distribution of each AR(1 ) process is Gaussian .","Indeed , Imperialist Competitive Algorithm(ERROR while looking up semantic expansion) fails because the marginal distribution of each AR(1 ) process is Gaussian ."
HA,hepatic artery,TS-35,we experienced a case in which the HA catheter system could be used long term even after years and five months there was no damage to the hepatic artery and we could still use this system for IS of the catheter a fine catheter with the tip tapered at f was selected this catheter was inserted into the HA IP branch in the liver after a side hole was created cm from the tip and the side hole was adjusted to stay in the CHA we speculated that the reason for little injury to the hepatic i.a. was use of a fine catheter despite possible damage to the hepatic artery wall like saw cutting in this case we classified the patterns according to which a catheter damaged the inner wall of the hepatic artery into straight punch type hook punch type whiplash type elbow blow type and saw type,we experienced a case in which the Headache(ERROR while looking up semantic expansion) catheter system could be used long term even after years and five months there was no damage to the hepatic artery and we could still use this system for Inception Score(ERROR while looking up semantic expansion) of the catheter a fine catheter with the tip tapered at f was selected this catheter was inserted into the Headache(ERROR while looking up semantic expansion) Intellectual Property(ERROR while looking up semantic expansion) branch in the liver after a side hole was created cm from the tip and the side hole was adjusted to stay in the Common Hepatic Artery(ERROR while looking up semantic expansion) we speculated that the reason for little injury to the hepatic i.a. was use of a fine catheter despite possible damage to the hepatic artery wall like saw cutting in this case we classified the patterns according to which a catheter damaged the inner wall of the hepatic artery into straight punch type hook punch type whiplash type elbow blow type and saw type
ST,semantic tagging,TS-36,We manipulate the following independent variables in our experiments : enumerate character and word representations ( ) ; residual bypass for character representations ( ) ; convolutional representations ( Basic CNN and ResNets ) ; auxiliary loss ( using coarse semtags on ST and fine semtags on UD ) .,We manipulate the following independent variables in our experiments : enumerate character and word representations ( ) ; residual bypass for character representations ( ) ; convolutional representations ( Basic Convolutional Neural Network(ERROR while looking up semantic expansion) and ResNets ) ; auxiliary loss ( using coarse semtags on Stomach(ERROR while looking up semantic expansion) and fine semtags on Universal Dependencies(ERROR while looking up semantic expansion) ) .
RTF,real time factor,TS-37,A detailed WER / RTF plot can be found in Figure .,A detailed NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) / Region Templates Framework(No additional information found for Region Templates Framework) plot can be found in Figure .
ARD,adversarially robust distillation,TS-38,"Performance of TRADES WideResNet distilled onto MobileNetV2 using ARD with different values of on CIFAR-10 , where robust accuracy is with respect to a -step PGD attack as in  15.Appendix F : Our hyperparameters for trainingWe train our models for 200 epochs with SGD and a momentum term of .","Performance of NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) WideResNet distilled onto MobileNetV2 using Adversarially Robust Distillation(No additional information found for Adversarially Robust Distillation) with different values of on NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) , where robust accuracy is with respect to a -step NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) attack as in  15.Appendix F : Our hyperparameters for trainingWe train our models for 200 epochs with NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) and a momentum term of ."
