acronym_,expansion,id,text
RWA,recurrent weighted average,TS-33,"On almost every task , the RWA model beat the baseline score using fewer training steps ."
SRL,state representation learning,TS-34,"Discussion and ConclusionsThis paper presents a set of environments on which to perform SRL benchmarks of incremental difficulty to solve tasks in RL , specifically , in robotics control ."
RDF,resource description framework,TS-35,"We present an RDF snippet in Listing 1.1 , and explain smaller sub - portions of our modeling in each subsequent subsection ."
BP,belief propagation,TS-36,"For each value of variance , using Monte Carlo approach , we generate 1000 random sets of measurement values and feed them to the proposed BP - based SE algorithm in order to obtain the average performance results ."
SC,sum capacities,TS-37,The SC is decreasing for increasing values of because the CCU capacity is decreasing for increasing values of .
RP,replies,TS-38,"F refers to follow - up relationships , RT to retweets , M to mentions , RP to replies , and FT to favorite or liked tweets ."
CTR,click through rates,TS-39,"To evaluate the CTR prediction accuracy of the algorithms , we run each algorithm for independent runs where in each run of each data set is selected randomly for training and for testing ."
ARD,accelerated robust distillation,TS-40,"Furthermore , we develop a free adversarial training variant of ARD and demonstrate appreciably accelerated performance ."
LML,lifelong metric learning,TS-41,"In addition , the error of average classification is minimum when , i.e. , the performance of our LML is best ."
ESC,ergodic sum capacity,TS-42,"So this is clearly visible that for different values of , EHS - CNOMA with MRC provides significantly higher ESC than other cases ."
MAD,map attention decision,TS-43,"Therefore , MAD vector serves as an adapter to alter the magnitude within the network : feature maps whose direction are in accordance with the gradient ( thus the optimization goal ) should remain unchanged ; feature maps whose direction are different from the gradient should alter quickly and remain at a low state ( inactive neuron ) ."
QRF,quantile random forest,TS-44,"QRF is a robust , non - linear , and non - parametric regression method based on random forests method for determining conditional quantiles ."
ABC,artificial bee colony,TS-45,"When the packets per round is set to 30 and the network size is increased to 60 , DE - based deployment achieves almost twice as GSA , and around more than the ABC - based algorithm ."
SA,significance and accuracy,TS-46,For the sake of mitigating this infeasibility issue for performing SA on the presented workflow we can execute the analysis on high - end distributed computing environments .
GCN,graph convolution networks,TS-47,"For skeleton - based action recognition using this data , the original ST - GCN first uses OpenPose to estimate 2D skeletons with 18 body joints ."
MRD,maximal ratio diversity,TS-48,"tABEP , , of square -QAM versus the number of relay nodes , , for average transmit SNR dB and dB over IID Nakagami- fading channels with different values of : ( A ) Pure RS , ( B ) Rate - Selective RS , ( C ) Repetitive transmission with MRD and ( D ) Repetitive transmission with SD ."
CA,corresponding arcs,TS-49,Let and be two graph classes that partition all CA graphs .
BLE,bluetooth low energy,TS-50,"As of today , some timid solutions have emerged , though the most relevant parameters for the best parent selection in BLE mesh network joining procedures have not been identified yet ."
DPP,determinantal point process,TS-51,DPP - pruned networks have consistently better training and test errors than networks pruned at random for the same final size .
RNN,recurrent neural network,TS-52,We explore two different structures for the temporal stream : stacked RNN and hierarchical RNN .
FP,fixed point,TS-53,"This might be because FP scheme identifies the global minimum for kl - KL based bound minimization problem , whereas CCP converges to a local solution or a stationary point . """""
PA,physical access,TS-54,"On the LA task , E1 combines models A , C through G and I , while E2 consists of A , B and G. On the PA task , E1 fuses all single models except D , and E2 combines models A through E. Finally , E3 combines models A and B on both LA and PA tasks ."
CS,content store,TS-55,"The packet processing , according to the NDN protocol , is as follows ( fig ) : NDN Data Plane  1 -For Interests , the forwarder , upon receiving an Interest , starts off by querying the CS for possible copies of the Data , if a CS match is found during this operation , the cached Data is returned downstream towards the client ."
GA,genetic algorithm,TS-56,"In contrast to traditional GANs , our proposed Bi - GAN involves two generators , and two different models compete and improve each other progressively with a GAN - based strategy to optimize the networks during GA evolutions ."
LM,lagrange multiplier method,TS-57,"The performance bottleneck of the LM method is moved to the line search step , which takes about 90 of the total computation time while the time spent on gradient estimation is trivial ."
EM,exact match,TS-58,EM results of CASe ablation test on 4 dataset pairs .
SOP,secrecy outage probability,TS-59,"Using these expressions , the SOP of the conventional direct transmission is obtained asProposed DF Incremental Relaying SchemeIn this section , the proposed relay selection scheme is exposed and its secrecy performance analyzed ."
GP,gaussian process,TS-60,Red elements represent the GP predictive posterior over the newer input domain while the blue ones are refer to the past visited input space .
CT,computed tomography,TS-61,"However , it is desirable to circumvent the requirement of an additional CT acquisition not just to reduce the exposed radiation dose to the patient but also to avoid the risk of registration errors between the MR and CT volumes ."
GDP,generalized differential privacy,TS-62,The definition of GDP below is a slight modification to the definition proposed inBBGLT11 and in most natural settings is stronger thanBBGLT11 .
NE,nash equilibrium,TS-63,"We run 300 independent simulations for each set of settings for all the algorithms , so that the test statistics and the expected time to reach the Nash Equilibrium ( NE state , or first game with NE played ) , are estimated effectively ."
PPMI,positive pointwise mutual information,TS-64,"As expected , PPMI predicts the target words without contextual overlap in any order ( none ) to be orthogonal to each other ( ) ."
FP,false positive,TS-65,"fig : internationalfigurefiguretb  0.85 tabularlrrrrrrrrr Ads & Non - ads & Accuracy & FP & FN & TP & TN & Precision & Recall 354 & 1,830 & 92.0 & 68 & 106 & 248 & 1,762 & 0.784 & 0.7 tabularOnline evaluation of Facebook ads and sponsored content ."
GPS,global positioning system,TS-66,"To reconstruct daily activity patterns , many remote - sensing studies have used methods that provide information on the location of an animal in space ( today most commonly GPS : Global Positioning System ) ."
SAR,socially assistive robots,TS-67,"While outside of ASD , these studies demonstrate the value of BKT in adapting SAR to varying learner needs ."
BS,standard beam search,TS-68,"Furthermore , as compared to the standard beam ( BS ) and heuristic beam ( BS++ ) , BSDAR shows a reasonably better decoding performance for recalling uni - gram ( ) , bi - gram ( ) , and gram references ( ) ."
SL,strictly local,TS-69,We only provide characterizations for the SL and SP classes .
TSP,triad significance profile,TS-70,"So , TSP - Filtering has O ( ) time complexity for a target user ."
DBN,directed belief net,TS-71,We generate suitable misclassification costs for DBN using the training set .
CNN,convolutional neural network,TS-72,"For training , synthetic examples are first employed to train the CNN to obtain the initial model ."
DN,destination node,TS-73,"Note that we have associated the SN and the DN with the node indices 1 and , respectively , in the context of this treatise ."
SPL,sound pressure level,TS-74,These samples are continuously double buffered in 1 s chunks and handed off to either the SPL or audio operational processes .
CNN,convolutional neural network,TS-75,"However , the depth of the filters in the first convolutional layer of our CNN is set to the number of the hyperspectral bands ."
RDF,resource description framework,TS-76,"Instance Mapping ImNow , we define the instance mapping which takes an RDF graph and produces a Property Graph following the restrictions established by the generic Property Graph Schema defined above ."
RUM,random utility modelwe,TS-77,A RUM possesses the so - called regularity property : the probability of choosing an alternative can not increase if the offered set is enlarged .
MN,master node,TS-78,DC architecture between LTE MN and LTE SN is displayed in Figure .
CTR,click through rates,TS-79,We also calculated the average CTR of these creatives from online serving history log during a two - month period .
AV,acquaintance vaccination,TS-80,"However , the RV strategy requires vaccination of 70 nodes to achieve the same efficiency and the AV requires vaccination of 40 nodes ."
LE,low energy,TS-81,"Moreover , in Figure , the FCFS , LE and HP also have smaller dead nodes compared with the NOP scenario ."
SMT,statistical machine translation,TS-82,"In supervised SMT , the feature weights were tuned and the setting was the same as that in unsupervised SMT ( USMT ) ."
OPF,optimal power flow,TS-83,Gains are computed on the corresponding test sets relative to the meta - loss of the full OPF models as Eq with and .
TCP,test case prioritization,TS-84,"In this study , we will specifically apply it to the total and additional TCP methods to obtain modified total and modified additional methods ."
PA,physical access,TS-85,We use and mixture components for the LA and PA tasks respectively and train one GMM each for bonafide and spoof class .
BP,belief propagation,TS-86,"Belief Propagation ( BP ) on an acyclic network consists of two main ideas , fusion and propagation ."
MSC,multi - layer same - resolution compressed,TS-87,tp  Visualization of the shallow and deep channel feature maps in the learned MSC features .
RNN,recurrent neural network,TS-88,The input to RNN is a variable - length sequence which can be recursively processed .
TS,time switching,TS-89,"SWIPT in relay channels is studied in , where derives the achievable throughput when the relay adopts TS or PS receiving strategies ."
RL,reinforcement learning,TS-90,The RL agent is trained in combination with a pre - trained AE and GAN .
OCC,one class classifier,TS-91,"During testing when either reconstructed output deviates from the input ( reconstruction based OCC ) or from ( boundary based OCC ) by a threshold amount , the machine can be declared as faulty ."
LDA,linear discriminant analysis,TS-92,"As a result , the FRR by SVM , which were related to client sensitivity given in Table table : Result_which_dataset , were higher than those achieved by both minimum cosine distance and LDA in Setup - R. In Setup - B , as mentioned above , the training matrix contains the data from the same recording day , which are more similar EEG patterns than the data obtained from a different recording day ."
CT,computed tomography,TS-93,"Conclusion The rapid progress of deep learning on medical image analysis has the potential to revolutionize the common clinical practice including breast cancer mammogram screening , pulmonary cancer CT screening , and radiotherapy in head and neck cancer treatment planning ."
DL,deep learning,TS-94,"Multiple Classification based NID*t  ML based 4-class NID with SVM(Mean Std - Dev Percent ) * 6p1.5 cm p2.0 cm c c c c 0em 1lCategory & 1lNID Model Name & 1cAccuracy & 1cPrecision & 1cRecall & 1cF1-Score 0em 0em 3*NORMAL & NID - SVM & 76.30 0.01 & 75.91 0.01 & 98.69 0.02 & 85.81 0.01 & NID - PGM - SVM & 76.16 0.08 & 75.90 0.03 & 98.41 0.11 & 85.70 0.06 & NID - DA - SVM & 82.87 0.17 & 98.39 0.20 & 77.68 0.32 & 86.82 0.16 0em 0em 3*DOS & NID - SVM & 94.00 0.01 & 93.35 1.15 & 25.34 0.16 & 39.86 0.10 & NID - PGM - SVM & 93.84 0.10 & 86.98 2.63 & 25.33 0.49 & 39.23 0.80 & NID - DA - SVM & 99.48 0.05 & 94.09 0.58 & 99.70 0.06 & 96.81 0.29 0em 0em 3*PROBE & NID - SVM & 98.82 0.02 & 68.54 0.43 & 83.27 0.53 & 75.19 0.37 & NID - PGM - SVM & 98.80 0.02 & 67.39 0.31 & 85.89 0.38 & 75.53 0.30 & NID - DA - SVM & 99.32 0.04 & 88.70 0.88 & 78.13 1.85 & 83.07 1.00 0em 0em 3*R2L & NID - SVM & 83.43 0.01 & 97.91 0.64 & 4.83 0.02 & 9.20 0.04 & NID - PGM - SVM & 83.34 0.05 & 94.15 5.15 & 4.51 0.02 & 8.60 0.04 & NID - DA - SVM & 83.74 0.19 & 51.75 0.31 & 96.57 0.66 & 67.38 0.23 0em *  t  DL based 4-class NID with DNN(Mean Std - Dev Percent ) * 6p1.5 cm p2.0 cm c c c c 0em 1lCategory & 1lNID Model Name & 1cAccuracy & 1cPrecision & 1cRecall & 1cF1-Score 0em 0em 3*NORMAL & NID - DNN & 77.15 3.22 & 76.5 2.81 & 99.15 0.51 & 86.33 1.64 & NID - PGM - DNN & 83.17 1.40 & 81.58 1.31 & 99.26 0.37 & 89.55 0.76 & NID - DA - DNN & 87.96 0.12 & 86.95 0.28 & 98.15 0.61 & 92.21 0.11 0em 0em 3*DOS & NID - DNN & 93.81 2.94 & 89.70 6.58 & 23.55 9.17 & 27.72 7.37 & NID - PGM - DNN & 99.04 0.22 & 97.84 3.73 & 89.97 0.98 & 93.7 1.34 & NID - DA - DNN & 99.59 0.08 & 97.14 1.36 & 97.65 0.40 & 97.39 0.52 0em 0em 3*PROBE & NID - DNN & 98.92 0.31 & 74.54 1.93 & 81.49 8.26 & 76.79 3.29 & NID - PGM - DNN & 98.40 0.07 & 64.93 1.90 & 55.84 7.72 & 59.78 3.86 & NID - DA - DNN & 99.05 0.07 & 75.27 1.24 & 83.47 4.52 & 79.11 2.17 0em 0em 3*R2L & NID - DNN & 83.90 2.72 & 58.99 3.87 & 7.55 5.81 & 11.28 3.13 & NID - PGM - DNN & 84.90 1.26 & 88.45 5.67 & 13.92 7.48 & 23.60 2.57 & NID - DA - DNN & 89.09 0.10 & 92.17 4.86 & 40.97 1.82 & 56.64 0.92 0em In order to verify the performance of the DA module on enhancing the existing learning based IDSs , we have undertaken multi - class based NID experiments ."
RL,reinforcement learning,TS-95,"We cast this as an RL problem , where the agent gets observations in the form of finger trajectories and outputs actions , which correspond to viewpoint changes in a 3D environment ."
CNN,convolutional neural network,TS-96,"Joint - CNN model selects as correct answer , whereas the hybrid model selects , because of the higher graph coverage score ."
LTE,long term evolution,TS-97,"Itis proposed in that LTE small cells usefrequency - hopping and time - hopping in the TV whitespace band toreduce interference from other devices in the band ; whereas thisstudy proposes a channel - sensing based channel access scheme for LTEsmall cells to access the band and reduce interference , which may also be applicable to the newStudy Item ( SI ) "" Licensed - Assisted Access using LTE "" which was recently approved for 3GPP Rel-13 ."
SA,simulated annealing,TS-98,"Overall , these results indicate the importance of contributions from the crowd workers in the hybrid approach , since SA100 is similar to the early annealing phase in SA ( Figure ) ."
RV,random vaccination,TS-99,"However , IMV strategy can work for the contact information availability of 50 of the nodes while RV and AV strategy fails ."
ICP,iterative cache placement,TS-100,"For large buffer delay and small storage capacity , the file hit probability of the OCFBEB is superior over that of the ICP and OCEB ."
BC,betweenness centrality,TS-101,"Betweenness Centrality ( BC ) plays a very important role in finding user ""s"" shortest route hence , like DDC , BC - BC correlation may be used to assign a shortest as well as efficient route to each user ."
EHRs,electronic health records,TS-102,"Data from health devices at homes – that monitor patient ’s health beyond the hospital radar - are also an important source of information , yet their integration to existing EHRs is a challenge ."
SVM,support vector machine,TS-103,"Then a multi - class linear SVM model is trained also with classes as in the A - SVM approach , however it receives as input both utterance and agent vectors concatenated into single vectors ."
RW,random walk,TS-104,"From any node the RW jumps with probability to any of its neighbors uniformly at random , and otherwise stands still ."
TC,total correlation,TS-105,"TC - D analyses for -VAE , -IBP - VAE , and -VampPrior on dSprites ."
CDR,call detail records,TS-106,"CDR data contain cell - level locations , but only for active mobile phone engaged in voice call , SMS or data connections ."
PS,parameter server,TS-107,"For analytical assessment of the PS , P2P , and RA architectures , we develop models for latency ( total time for training one epoch ) , which includes computing time , and communication time ."
FEM,finite element method,TS-108,"As an illustration of the prediction procedure , a diagram is depicted in Fig .. The below 2000 Hz is between the square root of the sine transmissibility and the twice the square root of sine transmissibility ( when the is the result from FEM simulation ) ."
MDC,mobile data challenge,TS-109,The fraction of variance explained by each principal component for the CNS and MDC dataset .
LV,large volumetric,TS-110,The images were acquired from apical windows and LV chamber was the main focus of analysis .
UE,user equipment,TS-111,"can be computed as the sum of interference from each macrocell UE : alignformula_I1cI_1= _ P BS()^h_,^.align is exactly the same as in ( formula_I3 ) ."
SS,stochastic search,TS-112,"In Table , we compared SS with classical models implemented in RankLib ( LambdaMART , RankNet , RankBoost , AdaRank , ListNet , CA ) and rankSVM model for their ranking relevance ."
FEC,forward error correction,TS-113,Five different cases were simulated as follows : ( 1 ) without any type of FEC .
ILP,inductive logic programming,TS-114,Implementation and PerformanceWe have implemented(The python implementation of dNL - ILP is available at https://github.com/apayani/ILP ) the dNL - ILP solver model using Tensorflow ( tensorflow2015-whitepaper ) .
SER,speaker error rate,TS-115,Average SER ( avg . )
PVC,premature ventricular contraction,TS-116,"Detection and Prediction of cardiac anomalies : PVC , PAC , and MI ."
OCR,optical character recognition,TS-117,htb   AUF542 - AUF542   AYK694 - AYK694   AH1338 - AH1338   AX937 - AX937   AP542 - AP542   A3681 - A3681   ADS026 - ADS026   AA - AA   S938 - S938  Examples of license plates that were partially or not recognized by the CNN - OCR architecture .
SDF,side - stream dark field,TS-118,"al report a framework to estimate the flow rate statistics from microcirculation SDF imaging after the video is stabilized , enhanced and micro - vessels are extracted from each frame ."
CC,central cloud,TS-119,where DUs are deployed at both the CC and the ECs .
FP,fixed point,TS-120,"Based on the proof for Theorem for KL - distance function , we identify the following FP equation for stationary point of eqn : BPinKL : Optimal PAC - Bayesian Posterior based on improvised Pinsker ""s"" approximation , A lower bound for KL - divergence given by an improvised version of Pinsker ""s"" inequality is the following tighter sixth degree polynomial approximation : is a valid distance function since it satisfies the Seeger ""s"" assumptions ."
TF,transcription factor,TS-121,"Meanwhile we know nothing about the third TF ( MYC ) , which remains masked ."
ID,interleaved declustering,TS-122,The Striped Mirroring Disk Array ( SMDA ) described in has a layout similar to ID .
AP,access point,TS-123,"As shown in Figure ( Ant - CTS and MU - CTSs with dotted lines mean these frames would be transmitted if there were no collisions ) , collisions in the -st contention round include two cases : 1 ) collisions among STAs ; 2 ) collisions between STAs and the AP ."
RV,resilience vector,TS-124,"Compared to blindly modelling to determine , it is relatively easier to measure its maximum probability of success in getting a similar RV within a maximum achievable distance among all possible distributions ."
CNN,convolutional neural network,TS-125,"The failure probability is calculated by determining the difference between the CNN sigmoid prediction output , and the true label ( a binary label encoding drowsy or awake ) ."
GCP,graph compression problem,TS-126,"Hence , the GCP is more strongly related to the family of edge compression techniques Dwyer13 such as modular decomposition(Not to be confused with modularity - based clustering , which is a form of community detection . )"
ML,maximum likelihood,TS-127,"Moreover , MPA approaches ML with increasing number of iterations , ."
BPE,byte pair encoding,TS-128,"In comparison with other transformer - based configurations , the smaller size multi - turn models perform better than their BPE counterparts but the larger size models perform worse ."
MPC,model predictive control,TS-129,"To complete the MPC dynamics model , the equations of motion and tire model are linearized with respect to operating points from the previous iteration ""s"" solution ."
CNN,convolutional neural network,TS-130,"Although variants of CNN using 1-dimensional filters also were suggested by to learn features directly from a raw audio signal in an end - to - end manner , not many works managed to use them on music classification tasks successfully ."
MSA,modern standard arabic,TS-131,tabularllllllEGY & GLF & LAV & MSA & NOR & Translation tabularx@c@ AzAyk AzAYktabular & tabularx@c@ A^slwnk Alwnktabular & tabularx@c@ A^slwnk / kyfk kyfk / Alwnk tabular & tabularx@c@ kyf .hAlk kyf HAlktabular & tabularx@c@ wA^s rAk wA rAktabular & How are you ?
FM,fuzzy measure,TS-132,"For example , if there are three inputs , then the FM and ."
IP,intellectual property,TS-133,Intellectual property ( IP ) has alwasys been a subject of fierce protection in semiconductor industry .
RL,reinforcement learning,TS-134,e ) Performance of RL agent on various game manipulations ( steps shown in order of million ) .
SVM,support vector machine,TS-135,nu - SVM with polynomial kernel .
CA,cellular automata,TS-136,"In this section , we produce a complete example of a non - abelian gauge - invariant CA by applying the gauging procedure ."
RTF,real time factor,TS-137,"In this paper , we attempt to improve the RTF of the TPIB system ."
CT,computed tomography,TS-138,"The reason is that , humans are not good at processing 3D CT data , which is of low signal to noise ratio ."
DCI,downlink control information,TS-139,"ConclusionIn this paper , the DCI generation for both LTE eMBMS and NR PTP technologies has been explained ."
CI,constructive interference,TS-140,"Focusing on the dotted curves , in the uniform power allocation case , it is apparent that maintaining approximately of the total number of CI terms , provides small gains ."
CS,compressive sensing,TS-141,But still for the clusters in local smooth data areas A - HDACS is able to utilize CS .
PCA,principal component analysis,TS-142,"The key idea of PCA is to construct low - dimensional sub - spaces that preserve as much of the variance in the data as possible and thereby preserve the data ""s"" correlation structure ."
TCP,test case prioritization,TS-143,"There are two major strategies in coverage - based TCP methods , namely , total and additional strategies , which we will introduce in section ."
EM,expectation maximization,TS-144,"Compared with existing related designs ( FFT - Block EKF , Parallel EKF , Particle filter , and EM method ) , our proposed design enjoys low computation complexity ( because of pipelining and time - sharing design ) , low delay and low buffer size ( due to its online and run - time estimation ) ."
PIN,phrase indexing network,TS-145,Supervised training and InferenceThe proposal generator for PIN is pre - trained using RPN architecture on PASCAL VOC dataset .
SVM,support vector machine,TS-146,"Finally , experimental results and performance evaluation against SVM are provided ."
DBP,determinisable by pruning,TS-147,Checking whether an NCA is DBP is in NP .
PPP,poisson point process,TS-148,"Then , is still a PPP with intensity SG_Totorial1 ."
CNN,convolutional neural network,TS-149,"The CNN is not sensitive to orientation , so this represents the widest range of angles between source and viewing geometries ."
PCA,principal component analysis,TS-150,"Our autoencoder techniques ( see Figure ) are comparable to PCA in terms of continuity of the paths in latent space , but have a much higher capacity to learn complex , nonlinear relationships than PCA alone ."
AL,active learning,TS-151,"Next , we will describe how we use AL to accelerate the learning rate , to auto - annotate sentences , and to provide feedback for flexible stopping criteria ."
MP,message passing,TS-152,"Error probability of MP based hypothesis testing algorithm in log scale as the number of measurements is varied on various values , when ."
FJ,friendly jamming,TS-153,"When the sources employ the FJ powers from the friendly jammer to improve their secrecy capacities , a certain cost is incurred to the friendly jammer ."
CPM,completely positive maps,TS-154,"In this work , we will only consider canonical -FA when working with CPM categories ."
RA,ring allreduce,TS-155,Estimated epoch time for RA .
NN,neural network,TS-156,fig : rtFSshot shows an example of reconstructed magnetic equilibria for ( a ) rt - EFIT vs. off - line EFIT and ( b ) nn - EFIT ( the NN network ) vs. off - line EFIT for KSTAR shot at sec with ( left panel ) and ( right panel ) .
EDA,exploratory data analysis,TS-157,"The first goal is addressed in Sections chapter : packages R packages for automated EDA and chapter : feature Feature comparison where we first briefly describe each package and the compare , how are different EDA tasks are tackled by these packages ."
CSP,constraint satisfaction problem,TS-158,"Then , an equivalent CSP instance can be constructed in time , and ."
AP,access part,TS-159,in present an MPR - aware MAC protocol for receiving two concurrent frames by introducing a waiting time window ( ) at the AP .
CNN,convolutional neural network,TS-160,Stereo Maching CNN GCPs Maching ConfidenceIntroduction Stereo matching is one of the most extensively researched topics in the study of computer vision .
FER,facial expression recognition,TS-161,"To the best of our knowledge , it is the only approach reported in the FER literature that consider neutral facial expressions despite its correlation with the rest seven facial expressions on the CK+ database ."
PPP,poisson point process,TS-162,Outside nonsubscribers constitute on the whole plane a homogeneous PPP of intensity .
TVD,total variation diminishing,TS-163,"In this test case , implicit TVD second - order scheme with Van - Leer limiter approximates convective terms ."
SF,structure fusion,TS-164,ConclusionWe have proposed structure fusion based on graph convolutional networks ( SF - GCN ) to address the multi - view data diversity and complexity for semi - supervised classification .
IO,interacting object,TS-165,t  Communications through an IO with a blocked LOS path .
BQ,basic question,TS-166,The detailed discussion about BQ concatenation algorithm is described in the Section 6.4 .
LML,lifelong metric learning,TS-167,Our LML framework is more efficient than most state - of - the - arts due to we do not need to retrain all the previous tasks .
CLS,constrained least squares,TS-168,"figure = cls_orig_L2.pdf , width=3.7 in Original guess for CLS algorithm ."
